course_uuid,course_code,latest_version_uuid
82257479-9ffe-eb04-7e21-300376dfc76d,P2NC.00.717,f1c2d1da-d9d2-56b8-492a-1c81dad589ff
774c3131-0d7b-6aaa-e0e0-1d9171f7538f,P2VK.02.708,6e13e605-fdde-061e-3c17-4175340bced1
1ef1db49-b640-662c-d8c0-74015b1b6963,KKSP.03.026,dacd82f4-6c63-528a-8e12-bd544a9ae293
c4b6bdf7-f806-f40b-0371-86adfc66948a,LOFY.00.007,1a4ad622-274a-a83c-c18c-edced56851e5
837238d2-ef2e-6a21-81fd-ddb0f09e24f8,FLAJ.00.061,5e55bb57-cea2-11b5-a83b-236b67dbf721
45c788b1-aeac-5a44-27a2-0bff5c8d8cd4,USUS.00.079,70a432fe-c068-fe33-6e18-887715a48261
e1083204-a5f1-8a9f-733a-38234a1d9c15,P2VK.02.684,687ef34f-f9dc-b0a1-65e8-a2cf8f08b552
7e5bf270-5b4c-e668-f606-0c1898ab4b84,FLGR.05.408,8866bc90-8bbb-a649-a54d-5c8ed46b61ca
3421f219-24aa-26fc-3c97-70e72b7271ba,P2VK.02.668,aee7d391-19e0-aff2-bfbd-53f637eaa4ef
e696d061-d09b-43ac-4842-8609de39c401,MJRI.09.031,095ab5e0-b3d8-fdfc-fcd9-4bbad0b8fd96
59c4b9cd-ae84-5efd-044c-1c494ac33b55,SHRG.02.020,68725235-21f8-062e-e02c-f8ae25a627b4
21eb468a-9a12-43e0-94c7-78a7cf4ff623,AR00.00.066,51442e4c-6893-24ea-8ef2-b2107d0992f4
9ef37789-5a38-dcba-1d43-057bc5da86be,SHHI.02.034,c467361e-ce35-4f41-8175-f2e55061e01b
7b7ded6e-54ec-7efd-7ada-6c28b37fd978,MJJV.02.094,75e18097-5f80-c5bf-e562-f3c5b23df013
92d0296f-ed77-cb2f-16ed-fc5915830917,HVEE.05.034,028378c1-1348-2988-aab1-224a0d0abc72
14c47013-3f4b-97a5-487b-2cac4f4fb2b1,SVPC.01.019,e3a149e1-015a-b892-1d13-f2e9235cde1a
50304c37-64f7-e50f-04f6-9f7ee45e2fa9,P2VK.05.226,5c4ebc99-38be-a5fe-aa49-e32a7185fedc
f8ab2908-2e37-8116-c853-427b777f7cbf,ARAN.02.024,e952f597-c551-7131-ee9f-c9be39bd0d7b
82285d64-4a28-4bce-e2d9-930b104f66ce,LTAT.03.003,0d2121e1-988d-ba19-3632-459d723e95e0
